Dataset	Total_Transcripts	Transcripts_WER=0	Ratio_WER=0	Transcripts_WER<=0.1	Ratio_WER<=0.1	Highest_WER	Transcripts_JW=1	Ratio_JW=0	Transcripts_JW>=0.95	Ratio_JW>=0.95	total_wer
cv_de	32852	5083	0.15472421770364056	7529	0.2291793498112748	15.333333333333334	5095	0.15508949226835506	28700	0.8736150006087909	0.3092900277879389
cv_en	6983	2144	0.3070313618788486	3046	0.43620220535586424	18.666666666666668	2148	0.3076041815838465	6198	0.8875841328941716	0.1943296412630187
gs	27700	14749	0.5324548736462094	18038	0.6511913357400722	62.0	14753	0.5325992779783394	24884	0.8983393501805054	0.10458006460544532
